cluster,doc_id
0,"['1', '19', '33', '61', '83', '97', '114', '116', '128', '133', '166', '303']"
1,"['14', '29', '184', '208', '217', '287', '299']"
2,"['17', '205', '218', '241', '283', '284']"
3,"['18', '64', '93', '99', '135', '154', '181', '186', '248']"
4,"['159', '188', '222', '224']"
5,"['88', '89']"
6,"['24', '59', '164', '220', '228', '274', '301']"
7,['50']
8,"['32', '66', '78', '129', '210', '242', '291']"
9,['279']
10,"['48', '91', '152', '252', '297']"
11,"['37', '77', '84', '138', '141', '175', '177', '193', '216', '230', '237', '244']"
12,"['10', '13', '31', '46', '56', '57', '127', '225', '235', '253', '254']"
13,"['0', '109']"
14,"['62', '236', '266']"
15,"['22', '25', '44', '72', '79', '81', '94', '176', '209', '215', '250', '302']"
16,"['34', '35', '39', '45', '80', '92', '156', '173', '289']"
17,"['28', '102', '132', '190', '195', '239', '304']"
18,"['145', '223', '256']"
19,"['36', '52', '68', '71', '76', '104', '108', '111', '131', '167', '191', '194', '211', '233', '234', '238', '243', '259', '261', '272', '275']"
20,['158']
21,"['58', '149', '153', '247']"
22,"['65', '69', '122', '178', '187', '200', '201', '221', '263', '270']"
23,"['30', '170', '268']"
24,"['54', '105', '290', '298', '300']"
25,"['9', '38', '40', '106', '118', '130', '277']"
26,"['2', '47', '260']"
27,"['90', '100', '124', '174', '179', '185', '246']"
28,"['5', '15', '53', '113', '162', '305']"
29,"['4', '11', '85', '87', '98', '112', '143', '163', '169', '255', '262', '264', '278', '282', '296']"
30,"['120', '151', '155', '182', '212', '229', '231', '257']"
31,"['43', '51', '96', '146', '160', '227']"
32,"['207', '285']"
33,"['136', '137', '140', '171', '258']"
34,"['63', '180', '189', '196', '245']"
35,"['20', '148', '157']"
36,"['42', '70', '82', '110', '161', '214']"
37,"['12', '21', '23', '55', '172', '271', '276', '293']"
38,"['7', '27', '95', '134', '204', '249', '265', '273']"
39,"['107', '165', '240', '267']"
40,"['73', '74', '86', '147', '198', '251', '306']"
41,"['3', '183', '295']"
42,"['168', '219']"
43,"['16', '26', '49', '103', '119', '125', '126', '197', '202', '203', '232', '269', '280', '281', '286', '288', '292']"
44,"['41', '60', '199']"
45,"['75', '101', '115', '123', '144', '294']"
46,"['6', '117', '121', '142', '192', '213']"
47,"['67', '206', '226']"
48,"['8', '139', '150']"
